Name,Ingredients,Target_Skin,Category,Price
Acwell Licorice pH Balancing Toner,"Licorice Water, Peony Extract",Combination,Toner,1350
Anua Heartleaf 77% Soothing Toner,"Heartleaf Extract, Centella",Sensitive,Toner,2100
Anua Peach 77 Niacin Essence Toner,"Peach Extract, Niacinamide",Combination,Toner,2100
Anua Heartleaf Pore Control Cleansing Oil,"Heartleaf Extract, Jojoba Oil",Oily,Cleanser,1900
Anua Heartleaf BHA Cleansing Foam,"Heartleaf, Salicylic Acid",Oily,Cleanser,1450
APLB Zinc Niacinamide Facial Cream,"Zinc, Niacinamide",Oily,Moisturizer,950
Axis y Dark Spot Correcting Glow Serum,"Niacinamide, Squalane",Combination,Serum,1600
Banila Co Clean it Zero Cleansing Balm,"Papaya Extract, Vitamin C",Dry,Cleanser,1700
Beauty of Joseon Glow Serum Propolis,"Propolis, Niacinamide",Combination,Serum,1400
Beauty of Joseon Relief Sun Rice + Probiotics,"Rice Extract, Probiotics",Dry,Sunscreen,1350
Beauty of Joseon Dynasty Cream,"Rice Bran Water, Ginseng",Dry,Moisturizer,2100
Cerave Daily Moisturizing Lotion,"Ceramides, Hyaluronic Acid",Dry,Moisturizer,1950
Cerave Foaming Cleanser,"Ceramides, Niacinamide",Oily,Cleanser,1950
Cerave SA Smoothing Cleanser,"Salicylic Acid, Ceramides",Oily,Cleanser,2050
Cetaphil Gentle Skin Cleanser,"Glycerin, Panthenol",Sensitive,Cleanser,920
Cos de baha Salicylic Acid BHA 4% Serum,"Salicylic Acid, Aloe Vera",Oily,Serum,1050
Cos de baha Azelaic Acid 10% Serum,"Azelaic Acid, Panthenol",Sensitive,Serum,1100
COSRX Advanced Snail 96 Mucin Power Essence,"Snail Secretion Filtrate",Dry,Serum,1400
COSRX Low pH Good Morning Gel Cleanser,"Tea Tree Oil, BHA",Oily,Cleanser,980
COSRX Aloe Soothing Sun Cream,"Aloe Arborescens Leaf Extract",Sensitive,Sunscreen,1050
Dot & Key Barrier Repair Face Moisturizer,"Ceramides, Hyaluronic Acid",Dry,Moisturizer,800
Dr. Althea 345 Relief Cream,"Panthenol, Centella",Sensitive,Moisturizer,1900
I'M from Rice Toner,"Rice Extract, Niacinamide",Dry,Toner,1980
I'M from Mugwort Essence,"Mugwort Extract",Sensitive,Serum,850
isntree Hyaluronic Acid Watery Sun Gel,"Hyaluronic Acid, Centella",Dry,Sunscreen,1400
Mixsoon Bean Essence,"Fermented Soybean, Pomegranate",Combination,Serum,1880
Missha Soft Finish Sun Milk,"Zinc Oxide, Titanium Dioxide",Oily,Sunscreen,1200
Neutrogena Hydro Boost Water Gel,"Hyaluronic Acid, Glycerin",Oily,Moisturizer,1250
Purito OatIn Calming Gel Cream,"Oat Seed Water, Panthenol",Sensitive,Moisturizer,1700
Simple Refreshing Facial Gel Wash,"Pro-Vitamin B5, Vitamin E",Sensitive,Cleanser,600
Simple Hydrating Light Moisturiser,"Glycerin, Borage Seed Oil",Combination,Moisturizer,700
Skin1004 Centella Asiatica Ampoule,"100% Centella Extract",Sensitive,Serum,1800
Skin1004 Centella Water-Fit Sun Serum,"Centella, Hyaluronic Acid",Sensitive,Sunscreen,1350
Skin1004 Centella Light Cleansing Oil,"Centella, Sunflower Seed Oil",Combination,Cleanser,1800
Some By Mi 30 Days Miracle Toner,"AHA, BHA, PHA, Tea Tree",Oily,Toner,1700
The Face Shop Rice Water Bright Cleansing Foam,"Rice Water, Soapwort Extract",Combination,Cleanser,950
The Ordinary Glycolic Acid 7% Toning Solution,"Glycolic Acid, Aloe Vera",Oily,Toner,2450
The Ordinary Niacinamide 10% + Zinc 1%,"Niacinamide, Zinc PCA",Oily,Serum,1150
The Ordinary Salicylic Acid 2% Solution,"Salicylic Acid",Oily,Serum,1600
The Ordinary Hyaluronic Acid 2% + B5,"Hyaluronic Acid, Vitamin B5",Dry,Serum,1600
skin aqua UV Super Moisture Gel,"Hyaluronic Acid, Collagen",Combination,Sunscreen,1450
Innsaei Low pH Daily Gel Cleanser 5.5,"Water, Gentle Surfactants",Sensitive,Cleanser,350
Innsaei Salicylic Acid Acne Cleansing Foam,"Water, Salicylic Acid",Oily,Cleanser,350
Skino Refreshing Micellar Cleansing Water,"Water, Micelles",Sensitive,Cleanser,250
Skino Ultimate Glow Brightening Toner,"Water, Niacinamide",Combination,Toner,300
Skino Tea Tree Toner (AHA BHA PHA),"Water, Tea Tree, Salicylic Acid",Oily,Toner,300
Innsaei Hyaluronic Sunscreen,"Water, Hyaluronic Acid",Dry,Sunscreen,600
Innsaei Lightweight UV Sunscreen,"Water, UV Filters",Oily,Sunscreen,600
Nivea Soft Light Moisturiser Cream,"Vitamin E, Jojoba Oil",Combination,Moisturizer,300
Pond's Hydra Miracle Hyaluronic Super Light Gel,"Hyaluronic Acid, Vitamin E",Dry,Moisturizer,420
Christian Dean Secret Tone-up Sun Cream,"Titanium Dioxide",Combination,Sunscreen,420
Cetaphil Gentle Skin Cleanser,Glycerin and Panthenol,Dry,Cleanser,920
I'M from Rice Toner Mini,Rice Extract,Dry,Toner,750
COSRX Snail 96 Mucin Essence Mini,Snail Secretion Filtrate,Dry,Serum,650
